strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
hell raiser og,uplifted,happy,relaxed,energetic,euphoric,depression,stress,pain,fatigue,headaches,drymouth,dryeyes,dizzy,headache,anxious,pine,citrus,woody,hybrid,"uplifted, happy, relaxed, energetic, euphoric, depression, stress, pain, fatigue, headaches, drymouth, dryeyes, dizzy, headache, anxious, pine, citrus, woody, hybrid"
hellfire og,euphoric,happy,sleepy,energetic,aroused,stress,depression,insomnia,nausea,pain,dizzy,anxious,drymouth,dryeyes,paranoid,earthy,lemon,citrus,hybrid,"euphoric, happy, sleepy, energetic, aroused, stress, depression, insomnia, nausea, pain, dizzy, anxious, drymouth, dryeyes, paranoid, earthy, lemon, citrus, hybrid"
hells og,relaxed,euphoric,hungry,happy,sleepy,stress,pain,depression,inflammation,insomnia,drymouth,dryeyes,dizzy,anxious,headache,earthy,pungent,pine,hybrid,"relaxed, euphoric, hungry, happy, sleepy, stress, pain, depression, inflammation, insomnia, drymouth, dryeyes, dizzy, anxious, headache, earthy, pungent, pine, hybrid"
hemlock,uplifted,talkative,hungry,relaxed,happy,stress,pain,depression,headaches,fatigue,dryeyes,drymouth,anxious,dizzy,headache,citrus,orange,sage,hybrid,"uplifted, talkative, hungry, relaxed, happy, stress, pain, depression, headaches, fatigue, dryeyes, drymouth, anxious, dizzy, headache, citrus, orange, sage, hybrid"
hempstar,uplifted,creative,focused,happy,talkative,stress,depression,nausea,fatigue,lackofappetite,anxious,drymouth,dryeyes,paranoid,headache,citrus,pepper,earthy,sativa,"uplifted, creative, focused, happy, talkative, stress, depression, nausea, fatigue, lackofappetite, anxious, drymouth, dryeyes, paranoid, headache, citrus, pepper, earthy, sativa"
hercules,happy,euphoric,energetic,focused,creative,depression,stress,insomnia,lackofappetite,pain,dryeyes,paranoid,anxious,dizzy,drymouth,earthy,citrus,honey,hybrid,"happy, euphoric, energetic, focused, creative, depression, stress, insomnia, lackofappetite, pain, dryeyes, paranoid, anxious, dizzy, drymouth, earthy, citrus, honey, hybrid"
herijuana,relaxed,sleepy,happy,uplifted,euphoric,insomnia,stress,pain,depression,lackofappetite,drymouth,dryeyes,dizzy,paranoid,headache,spicy/herbal,woody,pine,indica,"relaxed, sleepy, happy, uplifted, euphoric, insomnia, stress, pain, depression, lackofappetite, drymouth, dryeyes, dizzy, paranoid, headache, spicy/herbal, woody, pine, indica"
hibiscus sunrise,relaxed,euphoric,happy,tingly,giggly,insomnia,depression,pain,stress,headaches,drymouth,anxious,none,none,none,flowery,lavender,earthy,hybrid,"relaxed, euphoric, happy, tingly, giggly, insomnia, depression, pain, stress, headaches, drymouth, anxious, none, none, none, flowery, lavender, earthy, hybrid"
high noon irish cream,euphoric,happy,relaxed,sleepy,creative,depression,headaches,insomnia,musclespasms,nausea,paranoid,none,none,none,none,none,none,none,hybrid,"euphoric, happy, relaxed, sleepy, creative, depression, headaches, insomnia, musclespasms, nausea, paranoid, none, none, none, none, none, none, none, hybrid"
high school sweetheart,happy,uplifted,relaxed,focused,euphoric,stress,depression,pain,nausea,fatigue,dizzy,drymouth,dryeyes,none,none,blueberry,sweet,earthy,hybrid,"happy, uplifted, relaxed, focused, euphoric, stress, depression, pain, nausea, fatigue, dizzy, drymouth, dryeyes, none, none, blueberry, sweet, earthy, hybrid"
higher power,creative,happy,uplifted,focused,euphoric,depression,stress,lackofappetite,headaches,insomnia,drymouth,dryeyes,paranoid,none,none,grape,flowery,grapefruit,sativa,"creative, happy, uplifted, focused, euphoric, depression, stress, lackofappetite, headaches, insomnia, drymouth, dryeyes, paranoid, none, none, grape, flowery, grapefruit, sativa"
highwayman,happy,relaxed,uplifted,focused,creative,depression,stress,fatigue,inflammation,pain,anxious,paranoid,dizzy,headache,none,flowery,earthy,coffee,hybrid,"happy, relaxed, uplifted, focused, creative, depression, stress, fatigue, inflammation, pain, anxious, paranoid, dizzy, headache, none, flowery, earthy, coffee, hybrid"
himalayan blackberry,relaxed,sleepy,tingly,focused,happy,insomnia,stress,depression,headaches,pain,dryeyes,drymouth,anxious,paranoid,none,berry,earthy,pine,indica,"relaxed, sleepy, tingly, focused, happy, insomnia, stress, depression, headaches, pain, dryeyes, drymouth, anxious, paranoid, none, berry, earthy, pine, indica"
himalayan gold,euphoric,creative,happy,energetic,relaxed,lackofappetite,stress,pain,depression,insomnia,drymouth,dryeyes,paranoid,dizzy,headache,earthy,berry,spicy/herbal,hybrid,"euphoric, creative, happy, energetic, relaxed, lackofappetite, stress, pain, depression, insomnia, drymouth, dryeyes, paranoid, dizzy, headache, earthy, berry, spicy/herbal, hybrid"
hindu kush,relaxed,sleepy,happy,euphoric,uplifted,pain,stress,insomnia,depression,headaches,drymouth,dryeyes,paranoid,dizzy,anxious,earthy,woody,pungent,indica,"relaxed, sleepy, happy, euphoric, uplifted, pain, stress, insomnia, depression, headaches, drymouth, dryeyes, paranoid, dizzy, anxious, earthy, woody, pungent, indica"
hindu skunk,relaxed,happy,sleepy,euphoric,energetic,stress,pain,insomnia,depression,headaches,drymouth,dryeyes,dizzy,paranoid,headache,skunk,orange,earthy,indica,"relaxed, happy, sleepy, euphoric, energetic, stress, pain, insomnia, depression, headaches, drymouth, dryeyes, dizzy, paranoid, headache, skunk, orange, earthy, indica"
hindu sour,sleepy,hungry,relaxed,none,none,none,none,none,none,none,dizzy,none,none,none,none,diesel,pine,tobacco,hybrid,"sleepy, hungry, relaxed, none, none, none, none, none, none, none, dizzy, none, none, none, none, diesel, pine, tobacco, hybrid"
hippie chicken,euphoric,happy,giggly,talkative,creative,depression,stress,nausea,fatigue,pain,drymouth,dizzy,dryeyes,anxious,none,sweet,treefruit,earthy,sativa,"euphoric, happy, giggly, talkative, creative, depression, stress, nausea, fatigue, pain, drymouth, dizzy, dryeyes, anxious, none, sweet, treefruit, earthy, sativa"
hippie crippler,uplifted,euphoric,energetic,happy,giggly,depression,fatigue,stress,pain,inflammation,drymouth,dryeyes,dizzy,paranoid,anxious,earthy,sweet,woody,hybrid,"uplifted, euphoric, energetic, happy, giggly, depression, fatigue, stress, pain, inflammation, drymouth, dryeyes, dizzy, paranoid, anxious, earthy, sweet, woody, hybrid"
hoarfrost,creative,euphoric,focused,happy,hungry,stress,depression,eyepressure,fatigue,nausea,none,none,none,none,none,spicy/herbal,vanilla,woody,hybrid,"creative, euphoric, focused, happy, hungry, stress, depression, eyepressure, fatigue, nausea, none, none, none, none, none, spicy/herbal, vanilla, woody, hybrid"
hogs breath,happy,relaxed,sleepy,hungry,tingly,stress,pain,insomnia,depression,lackofappetite,drymouth,dryeyes,paranoid,dizzy,headache,earthy,spicy/herbal,nutty,indica,"happy, relaxed, sleepy, hungry, tingly, stress, pain, insomnia, depression, lackofappetite, drymouth, dryeyes, paranoid, dizzy, headache, earthy, spicy/herbal, nutty, indica"
hollands hope,sleepy,euphoric,relaxed,happy,uplifted,stress,insomnia,lackofappetite,pain,depression,drymouth,dryeyes,paranoid,dizzy,headache,citrus,pine,lemon,indica,"sleepy, euphoric, relaxed, happy, uplifted, stress, insomnia, lackofappetite, pain, depression, drymouth, dryeyes, paranoid, dizzy, headache, citrus, pine, lemon, indica"
hollyweed,happy,creative,euphoric,giggly,energetic,depression,headaches,pain,stress,eyepressure,dryeyes,drymouth,paranoid,none,none,earthy,woody,none,hybrid,"happy, creative, euphoric, giggly, energetic, depression, headaches, pain, stress, eyepressure, dryeyes, drymouth, paranoid, none, none, earthy, woody, none, hybrid"
hollywood og,energetic,relaxed,uplifted,euphoric,creative,cramps,stress,insomnia,pain,depression,drymouth,dryeyes,anxious,headache,dizzy,treefruit,bluecheese,earthy,hybrid,"energetic, relaxed, uplifted, euphoric, creative, cramps, stress, insomnia, pain, depression, drymouth, dryeyes, anxious, headache, dizzy, treefruit, bluecheese, earthy, hybrid"
holy ghost,euphoric,happy,relaxed,giggly,hungry,depression,stress,headaches,musclespasms,pain,drymouth,dizzy,dryeyes,headache,none,pine,spicy/herbal,diesel,hybrid,"euphoric, happy, relaxed, giggly, hungry, depression, stress, headaches, musclespasms, pain, drymouth, dizzy, dryeyes, headache, none, pine, spicy/herbal, diesel, hybrid"
holy grail kush,relaxed,happy,euphoric,uplifted,focused,stress,pain,depression,lackofappetite,headaches,drymouth,dryeyes,paranoid,dizzy,anxious,earthy,pine,woody,hybrid,"relaxed, happy, euphoric, uplifted, focused, stress, pain, depression, lackofappetite, headaches, drymouth, dryeyes, paranoid, dizzy, anxious, earthy, pine, woody, hybrid"
holy roller,euphoric,focused,happy,relaxed,none,none,none,none,none,none,none,none,none,none,none,citrus,earthy,none,hybrid,"euphoric, focused, happy, relaxed, none, none, none, none, none, none, none, none, none, none, none, citrus, earthy, none, hybrid"
honey bananas,uplifted,giggly,creative,relaxed,happy,stress,pain,headaches,musclespasms,fatigue,drymouth,dryeyes,anxious,dizzy,paranoid,honey,sweet,flowery,hybrid,"uplifted, giggly, creative, relaxed, happy, stress, pain, headaches, musclespasms, fatigue, drymouth, dryeyes, anxious, dizzy, paranoid, honey, sweet, flowery, hybrid"
honey boo boo,relaxed,euphoric,happy,uplifted,giggly,inflammation,stress,pain,insomnia,lackofappetite,dryeyes,paranoid,drymouth,anxious,dizzy,honey,earthy,sweet,indica,"relaxed, euphoric, happy, uplifted, giggly, inflammation, stress, pain, insomnia, lackofappetite, dryeyes, paranoid, drymouth, anxious, dizzy, honey, earthy, sweet, indica"
honey lemon cheese,relaxed,creative,happy,euphoric,talkative,stress,insomnia,depression,fatigue,eyepressure,dryeyes,drymouth,none,none,none,honey,earthy,lemon,hybrid,"relaxed, creative, happy, euphoric, talkative, stress, insomnia, depression, fatigue, eyepressure, dryeyes, drymouth, none, none, none, honey, earthy, lemon, hybrid"
honey rock,relaxed,giggly,sleepy,creative,uplifted,inflammation,stress,depression,musclespasms,fatigue,drymouth,dizzy,anxious,none,none,honey,none,none,hybrid,"relaxed, giggly, sleepy, creative, uplifted, inflammation, stress, depression, musclespasms, fatigue, drymouth, dizzy, anxious, none, none, honey, none, none, hybrid"
hong kong,relaxed,focused,happy,energetic,hungry,musclespasms,stress,depression,pain,fatigue,drymouth,dryeyes,paranoid,dizzy,anxious,earthy,spicy/herbal,flowery,hybrid,"relaxed, focused, happy, energetic, hungry, musclespasms, stress, depression, pain, fatigue, drymouth, dryeyes, paranoid, dizzy, anxious, earthy, spicy/herbal, flowery, hybrid"
hoodwreck,euphoric,happy,creative,energetic,focused,fatigue,cramps,depression,eyepressure,headaches,none,none,none,none,none,sweet,earthy,flowery,sativa,"euphoric, happy, creative, energetic, focused, fatigue, cramps, depression, eyepressure, headaches, none, none, none, none, none, sweet, earthy, flowery, sativa"
horace,euphoric,happy,tingly,uplifted,aroused,depression,fatigue,none,none,none,drymouth,none,none,none,none,sweet,treefruit,tropical,sativa,"euphoric, happy, tingly, uplifted, aroused, depression, fatigue, none, none, none, drymouth, none, none, none, none, sweet, treefruit, tropical, sativa"
huckleberries,aroused,euphoric,giggly,happy,hungry,depression,eyepressure,headaches,insomnia,lackofappetite,drymouth,none,none,none,none,berry,grape,honey,hybrid,"aroused, euphoric, giggly, happy, hungry, depression, eyepressure, headaches, insomnia, lackofappetite, drymouth, none, none, none, none, berry, grape, honey, hybrid"
huckleberry,happy,relaxed,euphoric,energetic,uplifted,pain,depression,inflammation,stress,insomnia,dryeyes,drymouth,paranoid,dizzy,anxious,sweet,berry,earthy,hybrid,"happy, relaxed, euphoric, energetic, uplifted, pain, depression, inflammation, stress, insomnia, dryeyes, drymouth, paranoid, dizzy, anxious, sweet, berry, earthy, hybrid"
huckleberry cough,happy,relaxed,sleepy,euphoric,focused,cramps,depression,fatigue,headaches,inflammation,dryeyes,drymouth,none,none,none,berry,menthol,blueberry,hybrid,"happy, relaxed, sleepy, euphoric, focused, cramps, depression, fatigue, headaches, inflammation, dryeyes, drymouth, none, none, none, berry, menthol, blueberry, hybrid"
huckleberry diesel,happy,relaxed,euphoric,giggly,creative,pain,depression,inflammation,musclespasms,stress,dryeyes,drymouth,none,none,none,berry,earthy,diesel,hybrid,"happy, relaxed, euphoric, giggly, creative, pain, depression, inflammation, musclespasms, stress, dryeyes, drymouth, none, none, none, berry, earthy, diesel, hybrid"
huckleberry hound,euphoric,happy,relaxed,giggly,hungry,headaches,lackofappetite,pain,stress,none,dryeyes,drymouth,none,none,none,berry,earthy,flowery,hybrid,"euphoric, happy, relaxed, giggly, hungry, headaches, lackofappetite, pain, stress, none, dryeyes, drymouth, none, none, none, berry, earthy, flowery, hybrid"
hulkamania,aroused,uplifted,euphoric,relaxed,happy,cramps,headaches,depression,nausea,insomnia,drymouth,none,none,none,none,earthy,ammonia,berry,indica,"aroused, uplifted, euphoric, relaxed, happy, cramps, headaches, depression, nausea, insomnia, drymouth, none, none, none, none, earthy, ammonia, berry, indica"
humboldt,relaxed,euphoric,happy,uplifted,sleepy,stress,pain,depression,musclespasms,headaches,dryeyes,drymouth,dizzy,headache,paranoid,earthy,skunk,spicy/herbal,hybrid,"relaxed, euphoric, happy, uplifted, sleepy, stress, pain, depression, musclespasms, headaches, dryeyes, drymouth, dizzy, headache, paranoid, earthy, skunk, spicy/herbal, hybrid"
humboldt dream,relaxed,happy,uplifted,tingly,euphoric,stress,depression,insomnia,pain,fatigue,dryeyes,drymouth,dizzy,none,none,diesel,lemon,tropical,indica,"relaxed, happy, uplifted, tingly, euphoric, stress, depression, insomnia, pain, fatigue, dryeyes, drymouth, dizzy, none, none, diesel, lemon, tropical, indica"
humboldt hawaiian,aroused,euphoric,happy,relaxed,uplifted,none,none,none,none,none,none,none,none,none,none,berry,pine,plum,hybrid,"aroused, euphoric, happy, relaxed, uplifted, none, none, none, none, none, none, none, none, none, none, berry, pine, plum, hybrid"
humboldt headband,euphoric,relaxed,happy,sleepy,focused,stress,depression,insomnia,lackofappetite,pain,dizzy,drymouth,anxious,dryeyes,none,berry,grape,sweet,indica,"euphoric, relaxed, happy, sleepy, focused, stress, depression, insomnia, lackofappetite, pain, dizzy, drymouth, anxious, dryeyes, none, berry, grape, sweet, indica"
humdinger og,creative,euphoric,focused,relaxed,none,depression,headaches,inflammation,pain,stress,none,none,none,none,none,apple,sweet,woody,indica,"creative, euphoric, focused, relaxed, none, depression, headaches, inflammation, pain, stress, none, none, none, none, none, apple, sweet, woody, indica"
hurkle,relaxed,happy,sleepy,uplifted,tingly,stress,pain,insomnia,inflammation,headaches,drymouth,dryeyes,dizzy,none,none,earthy,coffee,woody,hybrid,"relaxed, happy, sleepy, uplifted, tingly, stress, pain, insomnia, inflammation, headaches, drymouth, dryeyes, dizzy, none, none, earthy, coffee, woody, hybrid"
hurricane,uplifted,happy,energetic,euphoric,relaxed,depression,nausea,stress,pain,headaches,drymouth,anxious,dryeyes,dizzy,paranoid,sweet,orange,vanilla,sativa,"uplifted, happy, energetic, euphoric, relaxed, depression, nausea, stress, pain, headaches, drymouth, anxious, dryeyes, dizzy, paranoid, sweet, orange, vanilla, sativa"
hustler kush,happy,uplifted,energetic,euphoric,relaxed,lackofappetite,stress,depression,fatigue,insomnia,drymouth,paranoid,anxious,dizzy,dryeyes,sweet,earthy,pine,hybrid,"happy, uplifted, energetic, euphoric, relaxed, lackofappetite, stress, depression, fatigue, insomnia, drymouth, paranoid, anxious, dizzy, dryeyes, sweet, earthy, pine, hybrid"
ʻalenuihāhā,energetic,euphoric,happy,creative,aroused,depression,fatigue,stress,none,none,anxious,dizzy,drymouth,paranoid,none,tropical,sweet,pineapple,hybrid,"energetic, euphoric, happy, creative, aroused, depression, fatigue, stress, none, none, anxious, dizzy, drymouth, paranoid, none, tropical, sweet, pineapple, hybrid"
ice,happy,euphoric,giggly,relaxed,talkative,eyepressure,stress,pain,depression,insomnia,drymouth,dizzy,dryeyes,paranoid,headache,woody,chemical,earthy,hybrid,"happy, euphoric, giggly, relaxed, talkative, eyepressure, stress, pain, depression, insomnia, drymouth, dizzy, dryeyes, paranoid, headache, woody, chemical, earthy, hybrid"
ice cream,relaxed,happy,sleepy,euphoric,creative,stress,depression,pain,insomnia,eyepressure,drymouth,dizzy,paranoid,dryeyes,anxious,vanilla,sweet,earthy,hybrid,"relaxed, happy, sleepy, euphoric, creative, stress, depression, pain, insomnia, eyepressure, drymouth, dizzy, paranoid, dryeyes, anxious, vanilla, sweet, earthy, hybrid"
ice cream cake,relaxed,happy,euphoric,sleepy,tingly,stress,pain,depression,insomnia,headaches,dryeyes,drymouth,dizzy,anxious,headache,sweet,vanilla,pungent,indica,"relaxed, happy, euphoric, sleepy, tingly, stress, pain, depression, insomnia, headaches, dryeyes, drymouth, dizzy, anxious, headache, sweet, vanilla, pungent, indica"
